"","genus","Aging_16S_negative_CTRL_S48_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta","Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta","Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta","Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta","Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta","Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta","Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta","Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta","Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta","Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta","Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta","Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta","Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta","Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta","Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta","Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta","Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta","Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta","Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta","Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta","Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta","Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta","Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta","Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta","Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta","Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta","Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta","Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta","Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta","Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta","Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta","Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta","Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta","Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta","Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta","Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta","Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta","Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta","Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta","Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta","Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta","Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta","Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta","Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta","Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta","Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta","Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta","Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta","Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta","Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta"
"11","Alloscardovia",0,0,0,0,0,0,0,0,0,0,0.000287904415733976,0,9.69274013763691e-05,0,0,0.000251277326409247,0,0,0,0,0,0,0.000160763088794813,9.61538461538462e-05,0,0,0,0,0,0,0,0,0,9.69508943720006e-05,0,0,0,0,0.000161498708010336,0,0,0,0,0,0,0.000207168013258753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59969280983009e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Anaerococcus",0,0,0,0,0,0,0,0,0.000136490820992288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000331983268043291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235478806907378,0.000163988192850115,0,0,0,0,0,0.000101543460601137,0,0,0,0,0,0,0.000276166804750069,0,0,0,0,0,0,0.000548245614035088,0,0.000357867112012406,0.00019351717464925,0,0,0,0,0,0.000327439423706614,0,0,0,0,0,0,0.000296882731321128,0,0,0,0.000113778586869951,0,0,0.000493235625704622,0,0,0
"13","Anaerofilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597569882477923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000131891321551042,0,5.63189907636855e-05,0,0.000486997175416383,0.000101543460601137,0,0.000155038759689922,0,0,0.000136276914690651,0,0,8.05866709646224e-05,0,0,0.000127169835315063,0,6.01612321020335e-05,0,0,0,0,0.000152508769254232,0,0.000506215197705158,0,0.000294840294840295,0.000261951538965291,0.000213675213675214,0,0.000186671644577189,0,0.000338829907386492,0,0,4.99700179892065e-05,0,0,0,0,0,0,0,0,0
"14","Anaeroglobus",0,0,0,0,0,0,0,0,0.000545963283969153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000423370025402202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000327439423706614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Anaerotruncus",0,0.00685178507032095,0.000704638872577804,0.00438641232275833,0.00364963503649636,0.0114649067874175,0.00994134605825629,0.00634691090222544,0.00136490820992288,0.00586124401913875,0.00248317558570555,0.00507174666006927,0.0040709508578075,0.00257400257400257,0.00291073738680466,0.000251277326409247,0.0409649878593248,0.000289268151576511,0.00125842031238434,0,0.00467841371168729,0.00146356983773465,0.000107175392529875,0.000576923076923077,0.00576566682682408,0.000929224097878272,0.00378819415535759,0.00443369609028617,0.0104357725634052,0.00812720848056537,0.00564971751412429,0.000863156496912556,0.00470149253731344,0.00242377235930001,0.00612537469047309,0.00394431554524361,0.00248784349202759,0.00285588752196837,0.000322997416020672,0.0349119120737029,0,0.00147710487444609,0.000259336099585062,0.00471074380165289,0.00158933606767495,6.90560044195843e-05,0.000310077519379845,0.000157306905773163,0.000313971742543171,0.00705149229255494,0.000131891321551042,0.000110680686220255,0.000112637981527371,0,0.000194798870166553,0.000203086921202275,0.000423370025402202,0.000465116279069767,0,0.00067330999192028,0.00122649223221586,0.000495687518588282,0,0.00459344024498348,0,0,6.35849176575316e-05,0.00184467810367091,0.000120322464204067,0.00197368421052631,0.000394944707740916,5.96445186687343e-05,0.012385099177552,0.000305017538508464,0.000851195542830612,0.000281230665391754,0,9.82800982800983e-05,0.000261951538965291,0.000284900284900284,9.59969280983009e-05,0,0.000439850450846712,0.00237180935170544,0,9.8960910440376e-05,0.00554667199680192,0,0,0,0.00362882322446863,0,0.00253664036076663,0,0,0
"16","Anaerovorax",0,0,0,0.00030602876670407,0.000364963503649635,0.0017823594585481,0,0.000482043865991805,0.000750699515457585,0.00263157894736842,0.000791737143268435,0.00012370113805047,0.000193854802752738,0,0,0,0.00219315422573823,0,0.000925309053223777,0,0.000174893970530366,0,0.000696640051444188,9.61538461538462e-05,6.86388907955247e-05,0,0.000208142536008658,0,0.00177091898045664,0.000176678445229682,0.0019774011299435,0,0.00276119402985075,0.000581705366232004,0.000130327121073895,0,0,0,0.000161498708010336,0.00113140455794408,0,0.000875321407079161,0,0.000330578512396694,5.12689054088695e-05,0.000656032041986051,0.000310077519379845,0,0.000627943485086342,0.00278779927845196,0,0.000553403431101273,0,0,0,0,0,0,0.000102522042239081,0,0,0.00371765638941212,0.00289975144987572,0.00169232009025707,0.00267618198037467,0.000332373144249945,0.000635849176575316,0.00184467810367091,0,0.000219298245614035,0,0.000178933556006203,0.00203193033381713,0,0.000154762825969202,0,7.3308408474452e-05,0,0.000130975769482646,0,0.000671978496688106,0,0,0,0.000706713780918728,0.0024740227610094,0.00214871077353588,0.00308932169241101,0.000594471415832755,0.000682671521219706,0.00380162433039571,0,0.00028184892897407,0,0,0
"17","Asaccharobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05866709646224e-05,0,0,0,0.000184467810367091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199880071956826,0,0,0,8.6400552963539e-05,0,0,0,0,0
"18","Atopobium",0,0.00961654044957327,0.00305343511450382,0.0157094766908089,0.162408759124088,0.00867093790645021,0.000298240381747689,0.00305294448461477,0,0.00430622009569378,0.00341886493684097,0.00296882731321128,0.00436173306193661,0.00179260893546608,0.010025873221216,0.0253790099673339,0.00462128926137699,0.000867804454729534,0.000629210156192168,0,0.0035853263958725,0.00267260579064588,0.00388510797920797,0.00134615384615385,0.00658933351637038,0.00379433173300294,0.0143202064773957,0.139258363563079,0.00638795775093289,0,0.00310734463276836,0.000132793307217316,0.00694029850746269,0.00315090406709002,0.00312785090577349,0.00324825986078886,0.00169625692638245,0.00637082601054482,0.0260012919896641,0.00468724745433974,0.000789390590464162,0.000273537939712238,0.00246369294605809,0.00322314049586777,0.00251217636503461,0.00369449623644776,0.00124031007751938,0,0,0.000163988192850115,0,0.000110680686220255,0,0,0,0,0,0,0,0,0,0,0,0.00136997340639858,0.000223015165031222,0,0,0.000368935620734182,0,0,0,0,0,0,7.73814129846011e-05,0,0,0,0,0,0,0,0,0,0,0,0.00129922046771937,0,0,0,0.000777604976671851,0,0,0,0,0
"19","Bacteroides",0.266666666666667,0.0121408823175863,0.00105695830886671,0.0138733040905845,0.00364963503649636,0.0152223132135459,0.0162043940749578,0.00698963605688118,0.189312768716303,0.0222488038277512,0.0487278223629755,0.00878278080158337,0.0515653775322283,0.00036771465342894,0.000646830530401035,0.00167518217606165,0.0065794626772147,0.0173560890945907,0.0167295876822859,0.0384615384615385,0.00953172139390495,0.0059815462933503,0.0106371577085901,0.00442307692307692,0.010982222527284,0.00162614217128698,0.0109066688868537,0.00201531640467553,0.0134716336727595,0.0192579505300353,0.0121468926553672,0.169577053316513,0.0254477611940299,0.0495903824712784,0.008731917111951,0.0452436194895591,0.000376945983640544,0.000439367311072056,0.00242248062015504,0.00662679812510103,0.0110514682664983,0.0121450845232234,0.000778008298755187,0.0102479338842975,0.00481927710843374,0.012119328775637,0.00434108527131783,0.369199307849615,0.342935635792778,0.425385372253197,0.580585597467686,0.239623685666852,0.593376886686191,0.46556147621867,0.58264342066816,0.424248578391552,0.616850127011008,0.506356589147286,0.329813409883125,0.413143011042284,0.790269828291088,0.1226826608506,0.391604529135597,0.350229672012249,0.189116859946476,0.116330600487481,0.401475170089654,0.43054786939679,0.4793045361569,0.430592105263158,0.375296208530806,0.438804723845878,0.187421383647799,0.585633673936251,0.244447883618355,0.439451037741155,0.483908804339858,0.554004914004914,0.490307793058284,0.58525641025641,0.534126907938946,0.32798207952212,0.435891796789091,0.722724192455388,0.0685512367491166,0.407323107372588,0.352938237057765,0.166151779717932,0.165857525017339,0.295255432927523,0.410229825470883,0.313203883495145,0.435245208568208,0.384615384615385,0.0578610091457724,0.0639366428433456
"20","Barnesiella",0,0,0.000117439812096301,0.000204019177802714,0,0.00014451563177417,9.94134605825629e-05,0.000401703221659838,0.00307104347232649,0.000598086124401914,0.000107964155900241,0.00012370113805047,0.00135698361926917,0,0,0,0.00125323098613613,0.000144634075788256,0.000296098897031609,0,0.000830746360019238,0.000318167356029271,0.000696640051444188,0,0.000274555563182099,0,0.000333028057613854,0,0,0,0.000564971751412429,0.000863156496912556,0.000522388059701492,0.000436279024674003,0.000260654242147791,0.000928074245939675,0,0,0,0.00153547761435268,0.000157878118092832,0.000656491055309371,0,0.00107438016528926,0.000102537810817739,0.000863200055244803,0,0,0,0.00787143325680551,0,0.000110680686220255,0.0225839152962379,0,0,0,0,0.00403100775193798,0.0374205454172647,0.0534608133584702,0,0.017596906909884,0,0.000483520025787735,0,0,0.047243593819546,0.002029145914038,0,0.00679824561403509,0,0,0.000870827285921626,0,0,0.0263794364137466,0,0,0,0,0.00508783718920995,0.0407877543401157,0.0378271387728172,0,0.00664310954063604,0,0.000699580251848891,0,0,0.0366367049721242,0.0019872127181614,0,0.00493235625704622,0,0,0
"21","Bergeyella",0,0.000240413511239332,0,0.000102009588901357,0,4.81718772580567e-05,0.000397653842330252,0.00184783481963525,0,0.000119617224880383,0.000395868571634217,0,0,0,0,0.000335036435212329,0.000234980809900525,0,0.0017395810200607,0,0.000131170477897774,0.000190900413617563,0.00696640051444188,0,0.000137277781591049,0,0,0,0.00018974131933464,0.000176678445229682,0.00225988700564972,0,7.46268656716418e-05,0.000290852683116002,0,0,0,0,0.000161498708010336,0.000242443833845159,0,0.00147710487444609,0,0.00012396694214876,0.000205075621635478,0.00635315240660175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Bilophila",0,0,0,0,0,0,0,0,0.00116017197843445,0,7.19761039334941e-05,0,0,0,0,0,0,0.000144634075788256,0,0,0,6.36334712058543e-05,0,0,0,0,0,0,0,0,0,0.000265586614434633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000786534528865817,7.84929356357928e-05,0.000163988192850115,0.00237404378791876,0,0.00304122550123902,0,0.000681796045582936,0.00132006498781478,0.000423370025402202,0.00108527131782946,0.000205044084478163,0.00309722596283329,0.00136276914690651,0.000991375037176564,0,0.0014505600773632,0.000669045495093666,0.000332373144249945,0,0.00129127467256964,0.00132354710624474,0.000328947368421053,0.000197472353870458,0.000119289037337469,0.00019351717464925,0.00228763153881348,0,0.00421845998087631,0,0.000884520884520885,0.00150622134905043,0.00284900284900285,0.000959969280983009,0.000746686578308755,0.0019793270288102,0.0012423763270838,0.000989399293286219,0.000395843641761504,0.00119928043174096,0.000537273337810611,0.000891707123749133,0,0.0019872127181614,0.000970873786407767,0.000493235625704622,0,0,0
"23","Blautia",0,0.000240413511239332,0.000704638872577805,0.00112210547791493,0,0.00057806252709668,0.000298240381747689,0.00289226319595083,0.00341227052480721,0.000358851674641149,0.00035988051966747,0.00098960910440376,0.000290782204129107,9.19286633572348e-05,0,0.00335036435212329,0.00469961619801049,0.000144634075788256,0.0018136057443186,0,0.000131170477897775,0.000127266942411709,0,0.000384615384615385,0.000137277781591049,0.000619482731918848,0.00133211223045541,0.000201531640467553,0.000822212383783441,0.00141342756183746,0.00367231638418079,0.00365181594847619,0.000149253731343284,0.000242377235930002,0.00143359833181285,0,0.000226167590184327,0,0.00258397932816537,0.00452561823177631,0.000473634354278496,0.0010394441709065,0.000324170124481328,0.000206611570247934,0.000102537810817739,3.45280022097921e-05,0.00020671834625323,0.00440459336164858,0.0021978021978022,0.00278779927845195,0.00896860986547085,0.00420586607636967,0.000563189907636856,0.00177619893428064,0.00262978474724847,0.00822502030869212,0.00169348010160881,0.0102325581395349,0.0104572483083863,0.00323188796121734,0.0109021531752521,0.00406463765242391,0.00234741784037559,0.00419050689016037,0.00133809099018733,0.00509638821183249,0.00324283080053411,0.00498063087991146,0.0175670797737938,0.00131578947368421,0.00543048973143759,0.00214720267207444,0.00270924044508951,0.00869299984749123,0.00472026619206066,0.00118116879464537,0.00109962612711678,0.00393120393120393,0.00445317616240996,0.0042022792022792,0.00911970816933858,0.009893597162591,0.00450846712117879,0.01513440252993,0.00268551236749117,0.00188025729836715,0.00409754147511493,0.00214909335124244,0.00336867135638561,0.00489247923540789,0.0031104199066874,0.032621359223301,0.00197294250281849,0,0,0.000193162062970833
"24","Bradyrhizobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163988192850115,0,0,0,0,0,0,0,0,0.000307566126717244,0,0,0,0,8.05866709646224e-05,0.000223015165031222,0.000110791048083315,6.35849176575316e-05,0,6.01612321020335e-05,0.000109649122807018,0,0,0.000290275761973875,0,0,0,0,0,0,0,0,0.000840022400597349,0,0,0,0,0.000199880071956826,0.000402955003357958,0,0.000113778586869951,8.6400552963539e-05,0,0,0,0,0
"25","Bulleidia",0,0,0,0.000510047944506784,0,0.00014451563177417,9.94134605825629e-05,0.000160681288663935,0.000750699515457585,0,3.5988051966747e-05,0.00012370113805047,0,0,0,0,0,0,0,0,8.7446985265183e-05,0,0,0,0,0,0.000499542086420781,0,6.32471064448801e-05,0,0.000282485875706215,0,0,0,0.000130327121073895,0,0,0,0,0,0,0,0.000194502074688797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35849176575316e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268636668905306,0,0.000227557173739902,0,0,0,0,0,0
"26","Butyricicoccus",0,0,0,0,0,0,0,0,0.0017061352624036,0.000119617224880383,3.5988051966747e-05,0.00024740227610094,9.69274013763691e-05,0,0,8.37591088030823e-05,0,0,0.000111037086386853,0,0,0,0,0,0,0,0,0,0,0,0,0.00106234645773853,0,0,0,0,0,0,0,0,0,5.47075879424476e-05,0,0,0,6.90560044195843e-05,0,0.000629227623092653,0.000392464678178964,0,0,0.000664084117321527,0.000168956972291057,0.000197355437142293,0.00029219830524983,0.000913891145410235,0.000423370025402202,0.000155038759689922,0.00522862415419315,0.00444384594667385,0.000136276914690651,0.000793100029741251,0.000276166804750069,0.000483520025787734,0.00936663693131133,0.00265898515399956,0.00146245310612323,0.000922339051835455,0.000541451088918302,0.000986842105263159,0.000394944707740916,0.000775378742693547,0.00019351717464925,0,0.000386907064923005,0.000787445863096913,0.000293233633897808,0.000982800982800983,0.00045841519318926,0.000854700854700855,0.000767975424786407,0.00429344782527534,0.00197932702881021,0.00056471651231082,0.000706713780918728,0.000395843641761504,0.00069958025184889,0.00953660174613835,0.00148617853958189,0.00295824325861872,0.000691204423708312,0.00184466019417476,0.00147970687711387,0,0,0
"27","Butyricimonas",0,0,0,0.00336631643374477,0,0,0.00288299035689432,0,0.00197911690438818,0,0.000179940259833735,0,0.000290782204129107,0,0,0,0,0,0,0,4.37234926325915e-05,0,0,0,6.86388907955247e-05,0,0.00245608192490217,0,0,0.00229681978798586,0,0.00212469291547706,7.46268656716418e-05,4.84754471860003e-05,0,0.000464037122969838,0,0,0,0,0.000157878118092832,0.000109415175884895,0,0,0,0,0,0.00125845524618531,0.00282574568288854,0.0011479173499508,0.000395673964653126,0.000442722744881018,0.000112637981527371,0.00118413262285376,9.73994350832765e-05,0.00121852152721364,0,0,0,0,0,0.0073857440269654,0.000552333609500138,0.0024981867999033,0.00156110615521855,0.00166186572124972,0.000572264258917785,0.00184467810367091,0.00204548189146914,0.00614035087719298,0.00167851500789889,0.003817249194799,0.00290275761973875,0,0.000541669890892208,0.000337476798470105,0.000953009310167876,0,0.00091683038637852,0,0,0,0,0,0.0065017667844523,0.000593765462642256,0.0030481710973416,0.00550705171255876,0.00108986426236005,0.000455114347479804,0.0015552099533437,0.00135922330097087,0.00690529875986472,0,0,0
"28","Butyrivibrio",0,0,0,0.000102009588901357,0,0,0,0,0.000545963283969153,0.000717703349282297,0.00100766545506892,0,0,0,0,0,0,0,0.000111037086386853,0,0.000174893970530366,0,0,0,0,0,4.16285072017317e-05,0,0,0,0,0,0.00141791044776119,0.000727131707790004,0,0,0,0,0,0,0,0.000109415175884895,6.48340248962656e-05,0.000413223140495868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Campylobacter",0.133333333333333,0.174420002404135,0.052730475631239,0.110272365602367,0.0700729927007299,0.0663808468616022,0.0175961825231136,0.0727886237647626,0.0010919265679383,0.111842105263158,0.0344405657321769,0.029193468579911,0.136861490743433,0.0526751241036955,0.0109961190168176,0.0512605745874864,0.0394767760632882,0.0107029216083309,0.0428603153453253,0.115384615384615,0.200209872764636,0.0535793827553293,0.214645517389208,0.0448076923076924,0.177362893815636,0.0493263125290383,0.11081508617101,0.0574365175332527,0.0679906394282462,0.0141342756183746,0.065819209039548,0.00159351968660779,0.106567164179104,0.0342721411605022,0.0293236022416265,0.126682134570766,0.0523577971276716,0.00988576449912127,0.0536175710594315,0.0394375303054792,0.00994632143984844,0.0408665681930084,0.473223547717842,0.2,0.0568572160984363,0.204060493059872,0.0448578811369509,0,0,0,0,0,0,0,9.73994350832765e-05,0.000203086921202274,0,0.000155038759689922,0,0.000134661998384056,0,0,0.000138083402375035,0.000161173341929245,0,0,0.000127169835315063,0,0.000300806160510167,0,0,0.000357867112012406,0,0,0.000154762825969202,0.000224984532313403,0,0,0.000261951538965291,0,0,9.33358222885944e-05,0.000219925225423356,0,0.000141342756183746,0,0.000699580251848891,0.000134318334452653,0,0,0.000259201658890617,9.70873786407767e-05,0,0.0769230769230769,0.000684377527530641,0.00077264825188333
"30","Capnocytophaga",0,0.0049284769804063,0.0010569583088667,0.0326430684484341,0.0010948905109489,0.0210029384845127,0.028432249726613,0.0136579095364345,0.0176755613185014,0.0162679425837321,0.0181019901392737,0.00569025235032162,0.00756033730735679,0.00413678985107557,0,0.00167518217606165,0.00963421320592151,0.00188024298524732,0.0374935228366274,0,0.0279393117922259,0.00381800827235125,0.0566421949520391,0.00586538461538461,0.0055597501544375,0.00154870682979712,0.0356340021646824,0.000806126561870213,0.0220099930428183,0.0265017667844523,0.011864406779661,0.0148064537547308,0.0171641791044776,0.0165301274904261,0.0027368695425518,0.00696055684454757,0.00429718421350221,0,0.00080749354005168,0.00969775335380637,0.00189453741711399,0.0373105749767493,0.00200985477178423,0.0262809917355372,0.00425531914893617,0.0611836199157516,0.00578811369509043,0.0457763095799906,0.122291993720565,0.0710068875040997,0.0147718280137167,0.0294410625345877,0.00715251182698806,0.0151963686599566,0.01723970000974,0.0256904955320877,0.0529212531752752,0.0348837209302325,0.0834529423826123,0.0389173175329922,0,0.0368295826311093,0.0325876829605081,0.0377145620114433,0.0854148082069581,0.0627077332151563,0.0906720925796402,0.0463014204021398,0.0374804475995669,0.031359649122807,0.0454186413902053,0.0928665155672194,0.116207063376875,0.0134207716943724,0.0243751450901493,0.00798695089712582,0.0142218312440437,0.0177886977886978,0.0171578258022266,0.0267806267806268,0.0599020831333397,0.0733619563188352,0.0482735869804267,0,0.0374558303886925,0.0308758040573974,0.0392264641215271,0.0766957689724648,0.0497374417913406,0.0831721470019342,0.0569379644029722,0.0494174757281554,0.0328354002254791,0,0.0138741989672121,0.0168050994784624
"31","Cardiobacterium",0,0.000240413511239332,0,0.00163215342242171,0,0.000433546895322511,0.00228650959339895,0.000803406443319675,0.00116017197843445,0.00155502392344498,0.00313096052110699,0.00049480455220188,0.000193854802752738,0,0,0,0.00250646197227226,0,0.00155451920941594,0,0,0.000381800827235126,0.000562670810781844,9.61538461538462e-05,0.000205916672386574,0.000154870682979712,0.00187328282407793,0,0.000379482638669281,0.00159010600706714,0.00112994350282486,0,0.0017910447761194,0.00247224780648602,0.000912289847517268,0.000232018561484919,0,0,0,0.00266688217229675,0,0.0011488593467914,0.000194502074688797,0,0.000615226864906434,0.000794144050825219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134661998384056,0,4.95687518588282e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54878847413229e-05,0,0,0,0,0,0.000141342756183746,0,0,0,0,0,0,0,0,0,0,0
"32","Catenibacterium",0,0,0,0,0,0,0,0,0,0,3.5988051966747e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597569882477923,0,4.84754471860003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84929356357928e-05,0,0,0.000110680686220255,0.000394232935345799,0.00059206631142688,0.000486997175416383,0.000101543460601137,0.000423370025402202,0,0.000102522042239081,0.000134661998384056,0.000136276914690651,4.95687518588282e-05,0.000138083402375035,8.05866709646224e-05,0,0,0,0,0.000300806160510167,0,0,0,9.67585873246251e-05,0,0,0.000843691996175263,0.000806392493218972,0.000884520884520885,0.000130975769482646,0.00341880341880342,0,0,0.00054981306355839,0.00056471651231082,0.000141342756183746,9.8960910440376e-05,0.000199880071956826,0.000268636668905306,0,0,0.000259201658890617,0,0,0,0,0
