"","family","Aging_16S_negative_CTRL_S48_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta","Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta","Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta","Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta","Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta","Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta","Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta","Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta","Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta","Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta","Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta","Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta","Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta","Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta","Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta","Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta","Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta","Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta","Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta","Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta","Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta","Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta","Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta","Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta","Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta","Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta","Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta","Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta","Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta","Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta","Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta","Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta","Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta","Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta","Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta","Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta","Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta","Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta","Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta","Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta","Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta","Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta","Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta","Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta","Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta","Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta","Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta","Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta","Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta","Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta"
"16","Clostridiales_Incertae Sedis XI",0,0,1,8,0,4,2,2,2,3,1,0,3,0,0,1,0,0,38,0,0,0,0,0,1,1,13,0,2,0,0,10,6,3,0,3,0,0,0,0,0,36,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,1,0,27,0,3,0,0,0,0,0,0,5,0,6,2,0,0,0,0,0,5,0,0,1,0,100,1,3,0,0,0,1,0,2,7,0,0,0
"17","Clostridiales_Incertae Sedis XII",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0
"18","Clostridiales_Incertae Sedis XIII",0,8,0,22,53,40,0,25,11,29,181,12,32,11,10,33,64,1,49,0,35,12,37,4,11,6,30,85,41,1,13,0,49,148,22,15,11,28,15,58,1,27,7,36,15,25,7,0,8,17,0,5,0,0,0,0,0,0,1,0,0,75,21,21,12,3,10,11,0,2,0,3,21,0,2,0,1,0,2,0,7,0,0,0,5,25,43,23,6,6,44,0,4,0,0,0
"19","Comamonadaceae",0,8,96,33,0,1,4,36,76,57,577,0,1,0,0,0,3,283,824,1,34,365,645,2,19,113,87,0,1,1,12,61,102,369,1,1,0,0,0,8,226,506,389,28,438,442,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,18
"20","Coriobacteriaceae",0,80,33,158,445,180,12,49,43,45,189,24,45,39,31,313,64,7,45,0,83,46,147,15,97,59,351,692,101,7,15,76,105,149,24,15,45,30,173,64,6,14,39,82,53,108,12,0,14,1,2,1,13,2,6,164,0,0,0,4,1,119,4,55,16,0,1,11,0,18,1,20,0,0,3,17,2,8,197,0,0,2,3,8,38,9,76,15,1,1,38,0,33,0,0,0
"21","Corynebacteriaceae",0,3,0,7,1,4,1,8,47,3,25,8,8,0,0,2,18,0,34,0,2,9,50,6,14,2,18,0,5,0,2,48,4,29,5,10,0,1,1,14,0,16,17,4,9,45,5,56,76,117,24,115,0,34,4,0,10,0,6,1,14,251,46,70,25,17,185,20,16,22,112,80,206,33,194,0,86,5,0,24,0,5,3,15,41,46,122,31,24,97,75,13,26,0,0,0
"22","Desulfovibrionaceae",0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,4,18,0,54,0,7,28,1,7,4,24,10,21,0,19,3,4,0,7,23,3,4,5,7,15,0,75,0,9,35,40,10,12,18,11,8,4,34,4,9,1,24,13,9,0,0,0
"23","Enterobacteriaceae",0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,3,0,0,0,1,0,0,0,0,0,0,332,0,10,0,2,0,61,78,0,0,1,2,1,1,0,0,0,8,0,0,0,0,2,423,1,20,0,37,12,72,54,6,0,0,0,4,0,4,0,8,12,0,3125,836
"24","Enterococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,2,3,3,0,0,12,0,0,1,12,0,0,0,0,0,0,0,2,0,0,6,0,4,4,1,2,0,0,8,0,0,0,0,0,0
"25","Erysipelotrichaceae",0,85,8,51,48,112,4,34,90,23,80,41,26,37,25,84,46,11,65,0,36,39,85,19,154,17,151,97,92,3,7,76,38,42,34,14,39,28,48,31,9,54,18,38,62,61,22,23,90,8,22,251,97,14,119,116,4,67,124,30,3,108,8,265,86,103,81,73,165,171,47,74,38,22,300,277,50,128,147,66,78,112,35,20,36,10,388,190,88,76,187,414,308,0,0,1
"26","Eubacteriaceae",0,15,9,18,5,5,0,10,276,10,21,5,13,0,3,3,51,0,32,0,19,14,1,0,26,14,33,17,11,0,1,227,22,14,7,5,0,4,4,57,0,9,3,26,12,0,0,28,0,0,0,0,0,59,246,515,0,0,225,1,2,37,0,1,7,0,0,0,279,3,42,0,1,0,0,3,149,212,934,1,0,328,0,1,1,0,1,5,1,2,1,82,6,1,31,15
"27","Flavobacteriaceae",0,47,17,332,3,485,303,228,259,141,580,64,107,127,0,24,141,29,1197,0,650,83,2454,62,89,39,912,4,379,166,58,223,248,418,37,41,166,1,6,148,25,785,33,654,107,2026,58,291,1558,433,112,266,127,77,177,266,125,225,814,289,0,743,236,468,383,566,1426,251,624,286,460,1557,1201,88,315,142,194,181,274,376,624,786,439,0,265,312,785,571,502,731,659,509,466,0,223,87
"28","Fusobacteriaceae",0,234,228,521,17,2331,811,713,0,353,2275,500,316,1865,155,52,857,88,3816,0,2174,273,843,218,351,384,1230,55,1779,426,202,7,579,1616,472,153,2470,250,33,889,68,2697,88,2322,311,750,209,0,0,0,0,0,0,0,1,0,0,1362,65,2,1,12,1,4,1,1,3,0,7,13,2,0,1,0,1,1,1,1,0,0,1117,86,1,1,3,5,4,2,0,0,1,2,10,0,225,78
"29","Lachnospiraceae",1,240,396,540,81,754,137,413,666,466,1689,424,601,432,276,927,815,21,952,0,809,645,653,204,457,595,1307,172,627,62,112,782,856,1292,395,243,460,449,439,793,21,604,267,859,756,512,213,441,3282,621,809,610,1317,457,1067,631,170,346,1381,666,476,2002,862,1404,319,2368,1468,609,1799,1638,869,3849,2091,608,1136,2729,1249,1414,676,617,573,1423,782,371,633,1178,2155,632,2210,1137,1215,2381,2548,0,49,19
"30","Lactobacillaceae",0,5,0,4,1,30,2,7,1617,13,30,5,5,0,4,20,7,0,15,0,29,5,42,0,5,0,11,3,28,1,2,1763,18,21,7,0,0,4,7,6,0,13,1,29,6,28,3,4,6,1,7,8,0,9,15,24,1,0,11,6,0,23,3,89,1,70,69,22,23,24,8,14,12,4,11,5,14,12,27,6,4,12,4,0,5,3,130,5,101,100,33,47,41,0,1030,352
"31","Leptotrichiaceae",0,19,12,36,9,81,59,21,25,43,527,124,163,79,0,100,242,19,287,0,88,72,447,57,61,16,70,26,58,31,8,75,59,333,152,69,98,0,50,264,8,240,22,87,97,440,68,0,45,8,0,5,0,0,0,1,0,0,0,305,0,83,3,14,0,0,6,4,55,0,0,65,0,0,9,0,0,0,0,0,0,0,342,1,30,1,22,0,0,18,5,27,0,0,97,31
"32","Methylobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,15,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Methylophilaceae",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Micrococcaceae",1,104,54,34,45,218,17,1348,2469,33,830,615,238,2348,107,434,129,832,509,1,475,350,1570,3935,200,62,113,70,168,10,388,2340,58,620,536,78,2917,163,234,94,751,366,1679,522,432,1197,3533,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,8,0,1,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,127,45
"35","Moraxellaceae",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,0,1,5,5,0,0,3,0,0,2,0,1,0,3,0,4,1,1,0,2,1,0,3,7,1,2,4,1,0,3,1,3,1,2,3,0,0,872,287
"36","Mycoplasmataceae",0,6,0,11,1,40,0,19,0,11,6,31,15,0,2,56,176,0,333,0,19,0,0,11,3,0,26,0,24,1,5,0,6,5,32,8,0,1,29,148,0,220,20,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
